time,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
30,val,1,2,14,14,-2.3209804448212177,0.020287899283313225,0.05792670870138396,ns
30,val,1,3,14,14,-2.1543658219041686,0.03121149469180282,0.06688177433957747,ns
30,val,1,4,14,14,-2.93706707374705,0.0033133243260222256,0.024849932445166693,*
30,val,1,5,14,14,0.11624276017468516,0.907460148714765,0.907460148714765,ns
30,val,1,6,14,14,-0.5385914554760424,0.5901687846428502,0.6809639822802117,ns
30,val,2,3,14,14,0.16661462291704893,0.8676732871119324,0.907460148714765,ns
30,val,2,4,14,14,-0.6160866289258328,0.5378373464525292,0.6722966830656616,ns
30,val,2,5,14,14,2.437223204995903,0.014800540437858657,0.05792670870138396,ns
30,val,2,6,14,14,1.7823889893451752,0.07468581980424019,0.14003591213295036,ns
30,val,3,4,14,14,-0.7827012518428816,0.4338025669474875,0.6507038504212312,ns
30,val,3,5,14,14,2.2706085820788537,0.023170683480553584,0.05792670870138396,ns
30,val,3,6,14,14,1.6157743664281263,0.10614310563031627,0.17690517605052714,ns
30,val,4,5,14,14,3.0533098339217353,0.002263321215459662,0.024849932445166693,*
30,val,4,6,14,14,2.398475618271008,0.016463472494486247,0.05792670870138396,ns
30,val,5,6,14,14,-0.6548342156507275,0.5125744985754637,0.6722966830656616,ns
60,val,1,2,14,14,-4.127245154035555,3.671349408403064e-5,1.2388200880633618e-4,***
60,val,1,3,14,14,-2.19344672036068,0.02827520932332125,0.047125348872202086,*
60,val,1,4,14,14,-5.754891130274928,8.669764966253126e-9,6.502323724689844e-8,****
60,val,1,5,14,14,0.2984017623105518,0.7653965441725108,0.7653965441725108,ns
60,val,1,6,14,14,-3.80171595878768,1.4369741010471226e-4,3.5924352526178066e-4,***
60,val,2,3,14,14,1.9337984336748748,0.05313791546127367,0.07246079381082773,ns
60,val,2,4,14,14,-1.6276459762393736,0.10359997437761125,0.12435718243629194,ns
60,val,2,5,14,14,4.425646916346107,9.615368874453112e-6,4.807684437226556e-5,****
60,val,2,6,14,14,0.3255291952478747,0.7447805901986873,0.7653965441725108,ns
60,val,3,4,14,14,-3.561444409914248,3.6882020349817817e-4,7.903290074960961e-4,***
60,val,3,5,14,14,2.4918484826712315,0.012708023576907156,0.02382754420670092,*
60,val,3,6,14,14,-1.608269238427,0.1077762247781197,0.12435718243629194,ns
60,val,4,5,14,14,6.05329289258548,1.41914494520885e-9,2.128717417813275e-8,****
60,val,4,6,14,14,1.9531751714872483,0.05079884203168406,0.07246079381082773,ns
60,val,5,6,14,14,-4.100117721098232,4.129400293544539e-5,1.2388200880633618e-4,***
90,val,1,2,14,14,-4.266952234299745,1.9816156653224136e-5,7.431058744959052e-5,****
90,val,1,3,14,14,-1.0773957503499805,0.2813035018532361,0.3245809636768109,ns
90,val,1,4,14,14,-5.27846407185854,1.3027120140884984e-7,9.770340105663737e-7,****
90,val,1,5,14,14,0.577453117993335,0.5636334001763659,0.5636334001763659,ns
90,val,1,6,14,14,-2.371820860482692,0.017700670372562288,0.029501117287603816,*
90,val,2,3,14,14,3.1895564839497648,0.0014249129029177666,0.0035622822572944166,**
90,val,2,4,14,14,-1.0115118375587953,0.31177151834910755,0.33404091251690093,ns
90,val,2,5,14,14,4.84440535229308,1.2699143578815017e-6,6.349571789407509e-6,****
90,val,2,6,14,14,1.8951313738170532,0.058074999090194514,0.08711249863529177,ns
90,val,3,4,14,14,-4.20106832150856,2.656583988336806e-5,7.969751965010419e-5,****
90,val,3,5,14,14,1.6548488683433156,0.09795515832747645,0.13357521590110424,ns
90,val,3,6,14,14,-1.2944251101327113,0.19551862187385574,0.24439827734231967,ns
90,val,4,5,14,14,5.855917189851875,4.743845665838834e-9,7.115768498758251e-8,****
90,val,4,6,14,14,2.9066432113758482,0.0036532962693801665,0.0068499305050878125,**
90,val,5,6,14,14,-2.949273978476027,0.003185214632418921,0.006825459926611974,**
120,val,1,2,14,14,-4.331475641817564,1.4811333521300155e-5,7.405666760650077e-5,****
120,val,1,3,14,14,-0.9956969945859696,0.3193973908193546,0.5323289846989243,ns
120,val,1,4,14,14,-5.017228046649145,5.242232962675493e-7,7.86334944401324e-6,****
120,val,1,5,14,14,-0.3990536593087739,0.6898536666535042,0.7391289285573259,ns
120,val,1,6,14,14,-0.9027136176596537,0.36667790720143706,0.5500168608021556,ns
120,val,2,3,14,14,3.335778647231594,8.506086184827689e-4,0.0015948911596551916,**
120,val,2,4,14,14,-0.6857524048315822,0.4928692542675258,0.6720944376375352,ns
120,val,2,5,14,14,3.9324219825087896,8.409427665103429e-5,2.102356916275857e-4,***
120,val,2,6,14,14,3.4287620241579098,6.063409305416966e-4,0.0012993019940179212,**
120,val,3,4,14,14,-4.0215310520631755,5.7821083771010935e-5,1.734632513130328e-4,***
120,val,3,5,14,14,0.5966433352771956,0.5507455320491605,0.6884319150614506,ns
120,val,3,6,14,14,0.09298337692631588,0.925916767294404,0.925916767294404,ns
120,val,4,5,14,14,4.618174387340371,3.871308556512688e-6,2.9034814173845157e-5,****
120,val,4,6,14,14,4.114514428989493,3.879952898056817e-5,1.4549823367713063e-4,***
120,val,5,6,14,14,-0.5036599583508797,0.6145003509038236,0.7090388664274887,ns
