groups,time,variable,statistic,p
1,0,val,0.9102426059898299,0.15886952991581935
1,30,val,0.7971349628038277,0.004600857960593112
1,60,val,0.6393517771295014,9.304299449986663e-5
1,90,val,0.7847814276099957,0.003255767315436984
1,120,val,0.8004216376386786,0.005051112315727269
2,0,val,0.8630724740229472,0.033581191295380244
2,30,val,0.9638858371814149,0.7861855703794445
2,60,val,0.8169547344634212,0.00815132523130425
2,90,val,0.8645364296042192,0.03519257521534508
2,120,val,0.8211120751144134,0.009215610084459942
3,0,val,0.8650596829735459,0.03578806278852537
3,30,val,0.926795518649329,0.274991937197968
3,60,val,0.8613070742558079,0.03174059375322882
3,90,val,0.8935027574145789,0.09081015453364588
3,120,val,0.8325591659970263,0.012985366606160398
4,0,val,0.8103891380410253,0.006728374484567716
4,30,val,0.9587768699651473,0.7029022089102218
4,60,val,0.6159776110414958,5.650256546671843e-5
4,90,val,0.6268518168913588,7.111079435941707e-5
4,120,val,0.7998173733642344,0.004964931254286061
5,0,val,0.8924582108672638,0.08770906481751813
5,30,val,0.86898339797157,0.04060476591548628
5,60,val,0.8665880625821687,0.03758880919700035
5,90,val,0.7250095578820597,6.792117841899773e-4
5,120,val,0.7709188725777869,0.002229397653964038
6,0,val,0.8842910521927565,0.06692315617856572
6,30,val,0.9493666434387537,0.5509159356664555
6,60,val,0.9344727483561917,0.352095567880216
6,90,val,0.8945003803190278,0.0938768115746951
6,120,val,0.8671896722056442,0.03832349559998133
