groups,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
2,val,0,30,14,14,-1.1515873726862675,0.24949067271397118,1,ns
2,val,0,60,14,14,-4.07234728163652,4.6541715914818815e-5,4.6541715914818815e-4,***
2,val,0,90,14,14,-5.418961548084172,5.994620761420267e-8,5.994620761420267e-7,****
2,val,0,120,14,14,-3.5197710826459314,4.319194069432885e-4,0.004319194069432885,**
2,val,30,60,14,14,-2.9207599089502523,0.0034917880483775502,0.034917880483775504,*
2,val,30,90,14,14,-4.2673741753979035,1.9778726041233386e-5,1.9778726041233386e-4,***
2,val,30,120,14,14,-2.368183709959664,0.017875657358825722,0.17875657358825722,ns
2,val,60,90,14,14,-1.3466142664476521,0.17810449698535954,1,ns
2,val,60,120,14,14,0.5525761989905882,0.580553643539454,1,ns
2,val,90,120,14,14,1.8991904654382403,0.05753943790405111,0.5753943790405112,ns
3,val,0,30,14,14,-2.1870299009765253,0.02874034125250858,0.2874034125250858,ns
3,val,0,60,14,14,-3.6311197082030624,2.8219424663710927e-4,0.002821942466371093,**
3,val,0,90,14,14,-3.148208647265571,0.0016427439232406243,0.016427439232406242,*
3,val,0,120,14,14,-2.688514464257766,0.007177072625613005,0.07177072625613004,ns
3,val,30,60,14,14,-1.4440898072265371,0.14871371485716928,1,ns
3,val,30,90,14,14,-0.9611787462890453,0.3364623009375128,1,ns
3,val,30,120,14,14,-0.5014845632812409,0.6160301391896708,1,ns
3,val,60,90,14,14,0.48291106093749175,0.6291588877508373,1,ns
3,val,60,120,14,14,0.9426052439452962,0.34588285657916135,1,ns
3,val,90,120,14,14,0.4596941830078044,0.6457357454365007,1,ns
4,val,0,30,14,14,-1.99665150195309,0.04586305395726542,0.4586305395726542,ns
4,val,0,60,14,14,-3.6636233373046236,2.486723898221576e-4,0.002486723898221576,**
4,val,0,90,14,14,-3.8540017363280583,1.1620277017962417e-4,0.0011620277017962417,**
4,val,0,120,14,14,-2.3727649244140214,0.017655496633529354,0.17655496633529355,ns
4,val,30,60,14,14,-1.666971835351534,0.09552000536888063,0.9552000536888062,ns
4,val,30,90,14,14,-1.8573502343749682,0.06326134180352104,0.6326134180352104,ns
4,val,30,120,14,14,-0.3761134224609314,0.7068325760462022,1,ns
4,val,60,90,14,14,-0.19037839902343434,0.8490126232026887,1,ns
4,val,60,120,14,14,1.2908584128906024,0.19675277828217697,1,ns
4,val,90,120,14,14,1.4812368119140367,0.13854347991148908,1,ns
5,val,0,30,14,14,-0.12537443170374704,0.9002271289245433,1,ns
5,val,0,60,14,14,-0.33433181787665817,0.73812918324871,1,ns
5,val,0,90,14,14,-1.6391546070897278,0.10118106478123688,1,ns
5,val,0,120,14,14,-2.6607240506017398,0.0077972831475963825,0.07797283147596383,ns
5,val,30,60,14,14,-0.20895738617291112,0.8344815051331773,1,ns
5,val,30,90,14,14,-1.5137801753859808,0.1300816022952851,1,ns
5,val,30,120,14,14,-2.5353496188979925,0.011233514861762729,0.11233514861762729,ns
5,val,60,90,14,14,-1.3048227892130695,0.19195319722898532,1,ns
5,val,60,120,14,14,-2.3263922327250817,0.0199976356140771,0.19997635614077103,ns
5,val,90,120,14,14,-1.021569443512012,0.30698472609981964,1,ns
6,val,0,30,14,14,-1.8712476169599443,0.06131076749524345,0.6131076749524346,ns
6,val,0,60,14,14,-5.400151311474977,6.658471189605013e-8,6.658471189605013e-7,****
6,val,0,90,14,14,-4.67115410089753,2.9951212797353492e-6,2.9951212797353494e-5,****
6,val,0,120,14,14,-1.77838173026218,0.07534118121168909,0.7534118121168909,ns
6,val,30,60,14,14,-3.5289036945150327,4.172849570536962e-4,0.004172849570536962,**
6,val,30,90,14,14,-2.799906483937585,0.005111741298422554,0.05111741298422554,ns
6,val,30,120,14,14,0.09286588669776415,0.9260101070686642,1,ns
6,val,60,90,14,14,0.7289972105774473,0.46600336877623433,1,ns
6,val,60,120,14,14,3.621769581212797,2.925946826864149e-4,0.002925946826864149,**
6,val,90,120,14,14,2.8927723706353494,0.003818579330603568,0.03818579330603568,*
